logFC	logCPM	LR	PValue	FDR
B4GALT1-AS1	-1.46681286826602	6.66887761240658	355.785071235559	2.3301689223579e-79	1.10077179892187e-77
PCAT19	-1.51502805356728	8.95934286199609	355.477033378162	2.71934318970397e-79	1.27442234406365e-77
RP11-1070N10.3	-2.22609020810182	5.16875432755184	355.21376189745	3.10307794808786e-79	1.4428090774377e-77
AC096772.6	-1.16800901207524	8.60389266196688	355.066259252599	3.34127457255651e-79	1.54142393366767e-77
RP11-7F17.3	-1.97357151395839	5.24254449966442	354.230107544282	5.08146948276478e-79	2.32605250354465e-77
LINC00445	-3.2033291677975	3.09176014653523	353.787587058176	6.34382730556042e-79	2.88156155687187e-77
MIR99AHG	-1.79850962896409	8.46291281100288	345.103361831976	4.93711385647768e-77	2.22547002461837e-75
RNU6ATAC35P	-2.36164078719495	3.33064568061646	344.642435043011	6.220863672018e-77	2.78289393812623e-75
GNG12-AS1	-1.61341396249294	6.12010845738857	336.550869109918	3.59783346309565e-75	1.59738395485562e-73
RP11-389C8.2	-1.40258737061619	8.70987155774986	334.781603546563	8.73715494760974e-75	3.85021641534593e-73
RP11-3B7.1	-1.67140042159049	4.73988242284223	334.724840977582	8.98943666276002e-75	3.93204618471095e-73
TMPO-AS1	2.03970310826846	8.22159695942646	333.626216734483	1.55957181070216e-74	6.77152319279135e-73
CTD-2135J3.3	-1.47061749212138	4.1635835177507	329.794279030267	1.06559874686623e-73	4.59296394178475e-72
KCNJ2-AS1	-1.8848216000706	5.84140603855447	328.741294391129	1.80691067347473e-73	7.73174458468717e-72
AC015849.16	3.85644567795705	6.63159835205399	327.623827086109	3.16465649969601e-73	1.34440982954712e-71
RP11-863K10.7	-1.86904552197743	5.35199412267042	324.504685637163	1.51253084591116e-72	6.37963903221814e-71
RP11-124N14.3	-1.77449623796274	4.39000961354899	322.410683978117	4.32322795685699e-72	1.81054333937876e-70
RP11-295M3.4	-2.54929409716104	8.1243100027374	321.287327181822	7.59443100866655e-72	3.15810669761802e-70
AC022007.5	-1.30628903060281	9.07674932627953	321.125390213521	8.23698378477634e-72	3.40135589154576e-70
RP11-68I18.10	-2.08231013814767	4.92415370400986	320.15008842999	1.34341055044172e-71	5.5089161808044e-70
HCG23	-2.1698701107182	4.07536965203516	316.204917645866	9.71779075871872e-71	3.95748651242993e-69
RP4-575N6.4	-1.81021821646862	4.54839406450158	316.049239745479	1.0507002584853e-70	4.24957878517512e-69
LINC00640	-2.18649899677165	4.49622631743821	315.503412608638	1.3815821064633e-70	5.54982472018081e-69
RHPN1-AS1	2.10650680929833	8.97597990327302	315.252421342476	1.56693325231666e-70	6.25185192900669e-69
AC002451.3	-1.93121550447832	3.75006050011827	313.874668945482	3.12730873001106e-70	1.23937973494733e-68
CTD-2023N9.1	-3.26893629198143	4.4508910730268	308.997735307784	3.61045910970256e-69	1.42131740285291e-67
MAFG-AS1	1.99506035701271	9.62886455988402	308.917212650942	3.75927362216239e-69	1.47010004893172e-67
RP4-616B8.5	3.73861600134559	4.47819129229998	307.218722859196	8.81283977378775e-69	3.42367229369846e-67
RP11-35J10.7	-2.79717953955816	3.00565314045676	306.74019648618	1.12037363332076e-68	4.32405640833927e-67
RP11-756G20.1	-1.67280869808154	4.4755791677845	304.148961663457	4.11029203174743e-68	1.57605678230315e-66
RP11-345M22.2	-1.83440681981934	4.93821358830501	302.215386841711	1.08422398715459e-67	4.13054364138573e-66
RP11-542B15.1	3.50993352343131	4.61556015874158	300.763287334929	2.24635019470648e-67	8.50301147419342e-66
HAND2-AS1	-1.70313290813346	6.71716698591819	300.525250203652	2.53126357975672e-67	9.52045314551811e-66
CADM3-AS1	-2.52751762409717	6.51275753420813	294.613849675887	4.91209852117829e-66	1.83581909921252e-64
RP13-270P17.2	-1.20318409699908	6.43069645550365	292.806129058093	1.2165673633915e-65	4.51813225209231e-64
RP11-429J17.7	2.35277362492749	7.33251309338604	290.88605937022	3.18781417480956e-65	1.17650266889065e-63
RP1-193H18.2	-1.52948882270012	8.6539548595197	290.346729134764	4.1783741731472e-65	1.53250307406424e-63
AC004538.3	-1.91419610854394	6.13412878071436	290.196501995356	4.50547265641147e-65	1.64227259482159e-63
AC093609.1	-2.01488425955379	4.54613852055717	290.010356137304	4.94652042451765e-65	1.7919756507225e-63
RP11-196G18.22	2.15245262157691	10.7218223588249	289.709686861073	5.75192252025027e-65	2.07104283427304e-63
RP1-63M2.7	2.63949289302345	5.78069490683026	289.579469183359	6.14025487469388e-65	2.19746697182226e-63
RP11-6O2.3	-2.26377811447359	7.0854816683418	289.566991595444	6.17881462167621e-65	2.19794580367458e-63
LINC01058	-1.71380701913832	3.85640556845987	289.226361186006	7.33037129347474e-65	2.59196661604601e-63
C9orf163	1.87766148746994	6.11130170746407	286.731989411006	2.56235880183237e-64	9.00638614572629e-63
RP11-70D24.2	-1.44545652866757	4.82333846605841	286.199999061517	3.34626762846842e-64	1.1692136299471e-62
WDR86-AS1	-2.07148286987121	6.59682112394279	285.094303361893	5.82765994709315e-64	2.02425482279912e-62
CTD-3252C9.4	-1.51527951619743	10.248947330754	283.973459085792	1.02266155197087e-63	3.53147161660117e-62
RP11-783K16.13	1.48555558498177	6.82655025228852	283.772374989956	1.13122641671184e-63	3.88365813411826e-62
LINC01402	-1.91173198702753	3.3208204992924	283.670560642276	1.19051707083225e-63	4.0635857244303e-62
CTD-2396E7.11	1.58681620376483	10.1294085336312	281.994921746786	2.75977413090098e-63	9.36578519710936e-62
LGALS8-AS1	2.6407133532836	5.90171764919263	281.15428851168	4.20783294532717e-63	1.41984305955182e-61
WDFY3-AS2	-1.24698015618196	8.07996386723731	279.692924371999	8.76018678383543e-63	2.93914221355388e-61
LINC00337	3.0266997503133	5.32385883135334	279.619420272398	9.08931703851507e-63	3.03233994985489e-61
MBNL1-AS1	-1.57954013474643	8.59078181161196	277.719415946246	2.35820769939567e-62	7.82315531737721e-61
AC073072.5	-2.35498160156478	4.39790845863455	276.536212163828	4.27004088360999e-62	1.40863639205123e-60
RP11-122M14.1	3.14431461269187	5.39716176307266	275.14962099299	8.56269058935309e-62	2.80903821834055e-60
SHANK3	-1.14324454355815	11.4112420099662	273.944336394288	1.56776495202044e-61	5.11472488490646e-60
A2M-AS1	-1.17332856616717	7.06941557786305	273.519067014504	1.94071589427512e-61	6.29666338224978e-60
RP11-166D19.1	-1.430989799833	10.3416728203122	272.520895861109	3.20258202601824e-61	1.03340146795835e-59
ZBED3-AS1	-1.18149496563008	6.98333296856746	272.014360178023	4.12946853625957e-61	1.32524520144634e-59
RP11-742B18.1	5.09928731828669	5.54968361875999	271.985399523956	4.18992106180902e-61	1.33737750648553e-59
LINC00086	-1.91455587288623	8.67449377590766	271.759491309112	4.69288938919001e-61	1.48986622812726e-59
LINC00466	4.24814209020446	4.52517610047317	270.584357671787	8.46353016647163e-61	2.67257463278155e-59
AC009005.2	2.75965854516453	7.63325743968179	270.018975100337	1.12401915639253e-60	3.53049633962652e-59
RP11-98D18.9	1.55316701139055	6.56775573878951	268.903657496812	1.96722525115334e-60	6.14627783495263e-59
AP001189.4	-1.70076620021216	5.36967283365699	268.694727848629	2.18469158584195e-60	6.78979148126143e-59
CTD-2013N24.2	-0.856381596163768	6.77201436794368	266.15198743373	7.82688146371957e-60	2.41977670383581e-58
AC018647.3	-1.32432606809422	4.53163985779666	262.661882682709	4.51128662961266e-59	1.38745560145119e-57
RP11-588H23.3	-1.64017076225321	5.85700775084555	261.305073899488	8.91341001046066e-59	2.72713399542851e-57
RP11-127I20.5	2.34078670664917	5.84376752916965	259.925568038528	1.78131424130939e-58	5.42198999738761e-57
RP11-465N4.4	1.64755123871107	7.2573755138073	259.115634238389	2.67477956925909e-58	8.09978120844866e-57
MEG3	-1.62322439323233	10.9023145748686	259.074555118061	2.73050126765728e-58	8.22633162526338e-57
RP11-473M20.9	-1.41509470363112	6.03951849155992	259.010613271531	2.81955371319857e-58	8.45150491189723e-57
RP11-480I12.7	2.41180549504034	5.56516052500577	258.748986763895	3.21521215002646e-58	9.58880189187185e-57
RP11-494M8.4	-2.75935844393083	4.29266029444429	258.680827682021	3.3271085086863e-58	9.87265112753397e-57
AP001434.2	4.4129272359044	3.95453566268279	258.297580889798	4.03280716354038e-58	1.1906863150353e-56
AC074289.1	-1.66652950349826	6.45267144698127	256.833591520499	8.40879107162115e-58	2.47034384467278e-56
FLJ27354	-1.43345795166362	5.90842316347765	255.648317056433	1.52443669377438e-57	4.45633597858303e-56
RP5-963E22.6	2.28229295084852	5.47957240335229	255.602003812993	1.56028964722201e-57	4.53867505755958e-56
AC112721.1	3.71636611806982	4.30655641117222	255.452493996429	1.68188752411295e-57	4.86840481857205e-56
AC004160.4	-2.24295267640126	3.68704482614714	254.105925151065	3.30627900104757e-57	9.52369634204191e-56
CDKN2B-AS1	2.30760353550214	6.48829887439481	253.000072460737	5.75986235792086e-57	1.6510673409477e-55
JAZF1-AS1	-1.54261345757774	3.507931689245	252.225080095022	8.49885803439465e-57	2.42443269048794e-55
LINC00176	2.5674619085576	7.74829313033071	251.700984909904	1.10564207911564e-56	3.13885407556627e-55
RP11-181K3.4	-1.64154615062217	4.27955626508836	251.412392996072	1.27799357675282e-56	3.6107904644619e-55
RP6-65G23.3	1.79467062249339	7.70845330011456	251.301637123018	1.35105782972382e-56	3.79904594500913e-55
RP11-443B20.1	1.88123554905848	6.77123319323069	250.417137068754	2.1062035237385e-56	5.89437526430134e-55
RP11-95P13.1	-1.91910613699293	3.77853038632648	250.022892583609	2.56713608263049e-56	7.15044272072312e-55
LINC01352	-1.61130650716872	4.92255512292812	248.561171988778	5.34712963247061e-56	1.48238499904878e-54
RP11-422P24.11	1.11571877491273	7.64098197483813	247.483805871404	9.18340180428558e-56	2.53401811468721e-54
AP000251.3	2.79972868156554	6.09268024647154	246.857586177538	1.25756735531276e-55	3.45392336424271e-54
RP3-337H4.8	1.6769255679414	6.15479338844869	246.355088682223	1.61840105304328e-55	4.42437880473175e-54
RP4-575N6.5	-1.64857112843552	3.33760684011266	246.009826024705	1.92469138455484e-55	5.23746664783241e-54
RP1-228H13.5	1.47879824713091	8.72974938983852	244.979852365125	3.22790547161379e-55	8.74347789444011e-54
AC114271.2	1.28499115299791	6.4077747314642	244.493001833051	4.12161636473046e-55	1.1113308051933e-53
CTD-2154I11.2	-1.61990574579925	4.17041770654183	244.021008816262	5.22367064677276e-55	1.40208068950878e-53
C2orf48	3.43058362756481	5.87147035755252	243.546485007663	6.62882570625416e-55	1.77118623508737e-53
AC005682.5	-1.90394458753101	6.83000641395153	243.409590818225	7.10041777660798e-55	1.88864716085001e-53
RP11-506B6.6	-1.56174665501416	4.02124995375848	242.805924899947	9.61397850889973e-55	2.54576426435215e-53
RP11-35J10.6	-2.61359675249379	2.79321525859815	242.48901199071	1.12720064346046e-54	2.97148205340805e-53
AP002954.3	-1.48152206450358	4.80059366497348	242.452789685919	1.14788658010348e-54	3.0125645580049e-53
AC133644.2	2.10367493436439	5.99425197067274	241.90769052326	1.50921306967787e-54	3.94331998957869e-53
AP000473.8	-1.86583066691211	4.87382507818129	241.848370285396	1.55483606975299e-54	4.04462863078918e-53
RP11-426C22.4	2.20862395805858	7.09260172525931	240.981739746313	2.40239394349283e-54	6.2219895773356e-53
RP11-347C12.10	1.9283353566964	8.89371610127013	240.283079488888	3.41178542966938e-54	8.79763884812127e-53
AGAP1-IT1	2.79274041116806	5.8644411935903	239.413032692594	5.28069685092528e-54	1.35576151759625e-52
RP11-738B7.1	2.31607614625992	4.1544793150162	239.160409691291	5.99480411510396e-54	1.53243802163155e-52
ATP2A1-AS1	2.31533583388863	6.23830658360591	239.108472675717	6.15318186827869e-54	1.56614391949076e-52
RP11-6N17.3	-1.11696732042441	5.3983879226004	239.095888200996	6.19218283077314e-54	1.56930642127534e-52
RP11-399C16.3	2.9286518474236	5.67235918433288	238.937858066072	6.70350553565383e-54	1.6916324866682e-52
FOXD3-AS1	4.57452063800267	7.81884203256899	237.888836643837	1.13511974910019e-53	2.85229026316453e-52
AC097713.3	-3.47148780164392	4.429885548004	236.630423641342	2.13523078100196e-53	5.34260074653244e-52
CAPN10-AS1	1.05940962703617	7.64641631016903	236.606460464005	2.16107663829946e-53	5.38445466209211e-52
LINC01186	-2.80879651721121	3.57838135235501	236.446441393725	2.34187418729647e-53	5.81040633444776e-52
RP11-359E3.4	-0.82653220046819	7.29520817966778	235.913585040494	3.06025558382219e-53	7.56100804287449e-52
RP11-22C11.2	1.93867964324365	8.2417636344814	235.100361788678	4.60352466350796e-53	1.1326588807506e-51
RP11-54A9.1	-1.64056354303746	5.15518706355258	234.203347463736	7.22267096511737e-53	1.76970423439909e-51
AC112721.2	3.65503709425165	5.07630984665595	233.878073091934	8.50412300007971e-53	2.07507629402771e-51
XXbac-BPG299F13.17	-1.06930686595456	7.4181621866797	233.862476858637	8.57098177799789e-53	2.08278384358344e-51
RP11-98G7.1	2.39206815040847	5.7308604496855	233.234589206726	1.17477187638216e-52	2.84304423362158e-51
RP11-435J9.2	-1.37289059412532	4.34716868995994	232.513613948932	1.68724426697134e-52	4.06660301896562e-51
BOK-AS1	-2.60522304603811	3.85210676859312	232.380568046191	1.80381400066955e-52	4.32988685933077e-51
RP11-38H17.1	-2.12253856413128	4.57222328349393	232.251157982769	1.92492021136561e-52	4.60188414903398e-51
TYMSOS	2.43204902611837	6.90978026721284	232.07064636805	2.10754931519207e-52	5.01817689766499e-51
KLF3-AS1	-1.27861959355629	7.23198117034923	230.453054021115	4.74831445690624e-52	1.12605609911773e-50
RP11-57A19.2	2.78822934808218	7.11766832519981	228.496205420545	1.26852691525692e-51	2.99626057383685e-50
CTD-2510F5.4	3.19228197892554	8.06290124214617	228.421027826678	1.31733168152114e-51	3.09914086827982e-50
DDX11-AS1	1.73802327862665	6.60875395569975	228.349756361699	1.36533342431821e-51	3.19932296452343e-50
RP11-523H20.3	1.74051607546175	5.74604761457516	228.192154533786	1.47778127897364e-51	3.44912982305903e-50
RP11-322E11.5	-1.36885905856959	5.23909867456952	227.691486283046	1.90021066913533e-51	4.4176157485213e-50
